"","gene","snp","association_id","pvalue","standard_error","beta_number","range","traits","efo_id"
"19","APOE","rs35568738","55477883",9e-10,NA,NA,"[1.32-1.69]","Alzheimer's disease","EFO_0000249"
"20","APOE","rs71352239","55477887",3e-14,NA,NA,"[1.32-1.59]","Alzheimer's disease","EFO_0000249"
"21","APOE","rs76692773","41168683",9e-24,NA,10.04716,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"22","APOE","rs376097536","31394122",0,0.03,1.17,"[1.11-1.23]","blood protein measurement","EFO_0007937"
"23","APOE","rs11665676","41168724",1e-19,NA,9.089448,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"24","APOE","rs12972970","35789223",4e-12,NA,0.17,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"25","APOE","rs111789331","47457369",1e-11,0.0015072,0.010173,"[0.0072-0.0131]","health study participation","EFO_0010130"
"26","APOE","rs1305062",NA,NA,NA,NA,NA,NA,NA
"27","APOE","rs4802240","31667412",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"28","APOE","rs183427010","41168707",3e-21,NA,9.459884,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"29","APOE","rs3810143","55280146",2e-52,0.201,2.917,"[2.52-3.31]","low density lipoprotein cholesterol measurement, sleep duration","EFO_0004611, EFO_0005271"
"30","APOE","rs34078567","80056471",1e-112,0.0029,0.065,"[0.059-0.071]","triglyceride measurement","EFO_0004530"
"31","APOE","rs1081106","31666936",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"32","APOE","rs1871045","22108831",4e-06,NA,0.52,"[0.30-0.74]","waist-hip ratio, smoking behaviour measurement","EFO_0004343, EFO_0005671"
"33","APOE","rs34342646","35789211",2e-12,NA,0.17,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"34","APOE","rs1065853","14981264",0,0.013,0.603,"[0.58-0.63]","low density lipoprotein cholesterol measurement","EFO_0004611"
"35","APOE","rs11671274","64417765",2e-26,0.004707805,0.05017886,"[0.041-0.059]","mean platelet volume","EFO_0004584"
"36","APOE","rs1466435","31667376",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"37","APOE","rs55840414","41168734",5e-18,NA,8.655959,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"38","APOE","rs12721109","35814908",4e-134,NA,0.481,NA,"low density lipoprotein cholesterol measurement","EFO_0004611"
"39","APOE","rs5167","31395257",0,0.02,0.87,"[0.83-0.91]","blood protein measurement","EFO_0007937"
"40","APOE","rs79701229","41168644",1e-64,NA,16.990263,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"41","APOE","rs73052335",NA,NA,NA,NA,NA,NA,NA
"42","APOE","rs6859","31666924",1e-155,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"43","APOE","rs10421404","35814918",3e-06,NA,0.031,NA,"low density lipoprotein cholesterol measurement","EFO_0004611"
"44","APOE","rs157580","41168620",8e-220,NA,31.6502,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"45","APOE","rs4803760","31667436",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"46","APOE","rs283814","31667416",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"47","APOE","rs117612135","31667548",9e-31,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"48","APOE","rs34731969","31393596",3e-52,0.03,0.43,"[0.37-0.49]","blood protein measurement","EFO_0007937"
"49","APOE","rs7256200","35789161",1e-19,NA,0.15,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"50","APOE","rs2927482","55280142",2e-16,0.1934,1.562,"[1.18-1.94]","low density lipoprotein cholesterol measurement, sleep duration","EFO_0004611, EFO_0005271"
"51","APOE","rs7246099","31398427",2e-55,0.03,0.44,"[0.38-0.5]","blood protein measurement","EFO_0007937"
"52","APOE","rs375972689","56277323",5e-95,0.0100809,0.208537,"[0.19-0.23]","apolipoprotein B measurement","EFO_0004615"
"53","APOE","rs157581","35789234",9e-12,NA,0.1,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"54","APOE","rs440277","63154957",3e-14,0.026731139,0.20451695,"[0.15-0.26]","blood protein measurement","EFO_0007937"
"55","APOE","rs77719426","61999988",8e-18,0.0103138,0.0886896,"[0.068-0.109]","c-reactive protein measurement","EFO_0004458"
"56","APOE","rs2376866","31667536",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"57","APOE","rs140480140","62709695",3.95252516672997e-323,0.00563563,0.216585,"[0.21-0.23]","low density lipoprotein cholesterol measurement","EFO_0004611"
"58","APOE","rs12974942","31667396",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"59","APOE","rs28399657","31666852",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"60","APOE","rs394819","14869646",8e-11,NA,NA,"[1.55-2.3]","Alzheimer's disease","EFO_0000249"
"61","APOE","rs7259004","14927474",2e-10,0.0143,0.0906,"[0.063-0.119]","blood metabolite measurement, sphingolipid measurement","EFO_0005664, EFO_0004622"
"62","APOE","rs12978931","31667408",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"63","APOE","rs11672748","41168688",1e-23,NA,10.028075,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"64","APOE","rs11669338","31667472",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"65","APOE","rs760136","31667476",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"66","APOE","rs561654715","41168730",9e-19,NA,8.842536,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"67","APOE","rs190712692","61999980",7e-86,0.00464074,0.0911409,"[0.082-0.1]","c-reactive protein measurement","EFO_0004458"
"68","APOE","rs3925681","31666964",7e-162,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"69","APOE","rs576651896","41168840",2e-11,NA,6.6975107,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"70","APOE","rs7259620","36141721",2e-23,0.082315,NA,"[1.51-1.84]","Alzheimer's disease","EFO_0000249"
"71","APOE","rs4803764","55477955",1e-34,NA,NA,"[1.42-1.63]","Alzheimer's disease","EFO_0000249"
"72","APOE","rs8112526","31667456",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"73","APOE","rs150639620","31667496",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"74","APOE","rs34095326","35789246",2e-10,NA,0.12,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"75","APOE","rs72654472","61999976",1e-34,0.00621551,0.076407,"[0.064-0.089]","c-reactive protein measurement","EFO_0004458"
"76","APOE","rs58826447","41640057",7e-54,NA,NA,NA,"Alzheimer's disease, high density lipoprotein cholesterol measurement","EFO_0000249, EFO_0004612"
"77","APOE","rs4263041","31667532",5e-10,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"78","APOE","rs116949436","41168659",7e-50,NA,14.848961,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"79","APOE","rs57270598","31666984",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"80","APOE","rs2238681",NA,NA,NA,NA,NA,NA,NA
"81","APOE","rs117310449","31666916",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"82","APOE","rs405509","36141709",2e-21,0.077322,NA,"[1.46-1.77]","Alzheimer's disease","EFO_0000249"
"83","APOE","rs10407439","41168649",1e-58,NA,16.138115,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"84","APOE","rs11668327","55280166",9e-57,0.3473,5.155,"[4.47-5.84]","low density lipoprotein cholesterol measurement, sleep duration","EFO_0004611, EFO_0005271"
"85","APOE","rs584007","55279462",1e-19,0.002779,0.02548,"[0.02-0.031]","triglyceride measurement, sleep duration","EFO_0004530, EFO_0005271"
"86","APOE","rs144261139","55477973",1e-10,NA,NA,"[1.82-3.09]","Alzheimer's disease","EFO_0000249"
"87","APOE","rs11666329","31666876",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"88","APOE","rs12721051","80055665",1e-179,0.0037,0.1061,"[0.099-0.113]","total cholesterol measurement","EFO_0004574"
"89","APOE","rs61679753","31667420",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"90","APOE","rs5117","55279763",6e-45,0.003284,0.03706,"[0.031-0.043]","sleep duration, triglyceride measurement","EFO_0005271, EFO_0004530"
"91","APOE","rs8106922","35814748",7e-24,NA,0.05,NA,"low density lipoprotein cholesterol measurement","EFO_0004611"
"92","APOE","rs12721054","47266473",6e-39,0.009367529,0.1222335,"[0.1-0.14]","triglyceride measurement","EFO_0004530"
"93","APOE","rs406315","41640065",5e-50,NA,NA,NA,"Alzheimer's disease, high density lipoprotein cholesterol measurement","EFO_0000249, EFO_0004612"
"94","APOE","rs77241309","31667404",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"95","APOE","rs41289512","41169003",6e-276,NA,35.5,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"96","APOE","rs2972562","31666908",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"97","APOE","rs117264457","61999968",2e-44,0.00653893,0.0914817,"[0.079-0.104]","c-reactive protein measurement","EFO_0004458"
"98","APOE","rs1038026","47264274",1e-14,0.3174591,2.444245,"[1.82-3.07]","low density lipoprotein cholesterol measurement","EFO_0004611"
"99","APOE","rs439401","35848258",2e-59,NA,0.068,NA,"triglyceride measurement","EFO_0004530"
"100","APOE","rs141864196","41168863",3e-10,NA,6.313068,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"101","APOE","rs12691088","64675731",1e-300,NA,1.18305,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"102","APOE","rs7254723","41640107",7e-22,NA,NA,NA,"Alzheimer's disease, high density lipoprotein cholesterol measurement","EFO_0000249, EFO_0004612"
"103","APOE","rs116881820","45610162",1e-30,0.017623061,0.20294493,"[0.17-0.24]","HMG CoA reductase inhibitor use measurement","EFO_0009932"
"104","APOE","rs7254892","47738227",2e-136,0.5187,12.8991,"[11.88-13.92]","low density lipoprotein cholesterol measurement","EFO_0004611"
"105","APOE","rs769449","35814793",3e-157,NA,0.194,NA,"low density lipoprotein cholesterol measurement","EFO_0004611"
"106","APOE","rs2075650","15309",1e-295,NA,NA,"[2.41-2.66]","Alzheimer's disease","EFO_0000249"
"107","APOE","rs71171301","64675698",5e-29,NA,0.171993,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"108","APOE","rs405697","36141500",1e-13,0.036026,NA,NA,"Alzheimer's disease","EFO_0000249"
"109","APOE","rs75627662","41111942",1e-295,NA,36.79,NA,"family history of Alzheimer’s disease","EFO_0009268"
"110","APOE","rs28399637","41168629",2e-143,NA,25.508192,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"111","APOE","rs11673139","35848188",1e-18,NA,0.064,NA,"triglyceride measurement","EFO_0004530"
"112","APOE","rs2288912","10076487",4e-06,NA,4.617,NA,"very long-chain saturated fatty acid measurement","EFO_0006796"
"113","APOE","rs71352238","36141370",7e-69,0.019446,NA,NA,"Alzheimer's disease","EFO_0000249"
"114","APOE","rs56131196","35814873",6e-163,NA,0.163,NA,"low density lipoprotein cholesterol measurement","EFO_0004611"
"115","APOE","rs143459034","31667304",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"116","APOE","rs484195","64674951",3e-67,NA,17.3,NA,"alkaline phosphatase measurement","EFO_0004533"
"117","APOE","rs59007384","35789206",3e-13,NA,0.11,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"118","APOE","rs283812","35904201",3e-07,0.1,0.55,"[0.35-0.75]","Alzheimer's disease, beta-amyloid 1-42 measurement","EFO_0000249, EFO_0004670"
"119","APOE","rs10414043","35789151",2e-20,NA,0.15,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"120","APOE","rs12721046","35789181",1e-14,NA,0.13,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"121","APOE","rs35577563","55279168",8e-24,0.001099,0.009419,"[0.0073-0.0116]","high density lipoprotein cholesterol measurement, sleep duration","EFO_0004612, EFO_0005271"
"122","APOE","rs741780",NA,NA,NA,NA,NA,NA,NA
"123","APOE","rs395908","35814733",3e-97,NA,0.136,NA,"low density lipoprotein cholesterol measurement","EFO_0004611"
"124","APOE","rs204474","55278616",2e-15,0.001025,0.007205,"[0.0052-0.0092]","high density lipoprotein cholesterol measurement, sleep duration","EFO_0004612, EFO_0005271"
"125","APOE","rs8106813","31667488",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"126","APOE","rs2972558","31667444",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"127","APOE","rs10426423","36141685",3e-06,0.060334,NA,"[1.15-1.38]","Alzheimer's disease","EFO_0000249"
"128","APOE","rs141441332","55477980",1e-11,NA,NA,"[1.96-3.38]","Alzheimer's disease","EFO_0000249"
"129","APOE","rs142412517","41168809",2e-12,NA,7.033927,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"130","APOE","rs283810","55280507",4e-29,0.4486,4.262,"[3.38-5.14]","low density lipoprotein cholesterol measurement, sleep duration","EFO_0004611, EFO_0005271"
"131","APOE","rs60049679","31400530",2e-70,NA,NA,NA,"family history of Alzheimer’s disease","EFO_0009268"
"132","APOE","rs148303016","61999964",2e-39,0.00460065,0.0604872,"[0.051-0.07]","c-reactive protein measurement","EFO_0004458"
"133","APOE","rs10402271","35814723",2e-58,NA,0.081,NA,"low density lipoprotein cholesterol measurement","EFO_0004611"
"134","APOE","rs769455","43769815",2e-18,NA,0.21,NA,"triglyceride measurement","EFO_0004530"
"135","APOE","rs184017","35789251",3e-10,NA,0.15,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"136","APOE","rs2927468","31667432",4e-108,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"137","APOE","rs3852860","31666928",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"138","APOE","rs28399607","61999952",2e-25,0.00468477,0.0488741,"[0.04-0.058]","c-reactive protein measurement","EFO_0004458"
"139","APOE","rs11556505","35789176",2e-15,NA,0.13,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"140","APOE","rs41290100","41168762",2e-15,NA,7.9216814,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"141","APOE","rs1130742","31390086",5e-72,0.03,0.49,"[0.43-0.55]","blood protein measurement","EFO_0007937"
"142","APOE","rs483082","56275157",1e-292,0.00234895,0.0858847,"[0.081-0.09]","triglyceride measurement","EFO_0004530"
"143","APOE","rs445925","21413839",1e-129,0.021,0.523,"[0.48-0.56]","low density lipoprotein cholesterol measurement","EFO_0004611"
"144","APOE","rs6857","56273791",0,0.00275941,0.157677,"[0.15-0.16]","low density lipoprotein cholesterol measurement","EFO_0004611"
"145","APOE","rs204469","56274626",9e-09,0.00511875,0.0294656,"[0.019-0.039]","low density lipoprotein cholesterol measurement","EFO_0004611"
"146","APOE","rs412776","31666920",5e-15,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"147","APOE","rs283815","36141777",9e-23,0.033836,NA,NA,"Alzheimer's disease","EFO_0000249"
"148","APOE","rs519113","33529",5e-39,NA,NA,"[1.87-2.34]","Alzheimer's disease","EFO_0000249"
"149","APOE","rs113743631","56277645",3e-17,0.00754799,0.0637083,"[0.049-0.079]","apolipoprotein B measurement","EFO_0004615"
"150","APOE","rs365653","31666948",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"151","APOE","rs1038025",NA,NA,NA,NA,NA,NA,NA
"152","APOE","rs204914","61999992",4e-33,0.00491868,0.0589887,"[0.049-0.069]","c-reactive protein measurement","EFO_0004458"
"153","APOE","rs138692741","56277440",3e-36,0.00569026,0.0715279,"[0.06-0.083]","apolipoprotein B measurement","EFO_0004615"
"154","APOE","rs35194062","64675704",8e-18,NA,0.198766,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"155","APOE","rs1081105","41168616",1e-231,NA,32.50298,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"156","APOE","rs547509922","41168788",3e-13,NA,7.314314,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"157","APOE","rs17561351","64401660",5e-14,0.0046529965,0.03503118,"[0.026-0.044]","platelet crit","EFO_0007985"
"158","APOE","rs28399664","55477985",6e-16,NA,NA,"[2.06-3.26]","Alzheimer's disease","EFO_0000249"
"159","APOE","rs144311893","56271711",1e-70,0.00690512,0.122774,"[0.11-0.14]","apolipoprotein a 1 measurement","EFO_0004614"
"160","APOE","rs139136389","61999984",8e-21,0.00753855,0.0705787,"[0.056-0.085]","c-reactive protein measurement","EFO_0004458"
"161","APOE","rs3112440","64675692",2e-14,NA,0.102341,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"162","APOE","rs7412","64699830",0,0.0091,0.576,"[0.56-0.59]","low density lipoprotein cholesterol measurement","EFO_0004611"
"163","APOE","rs34404554","35789171",2e-15,NA,0.13,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"164","APOE","rs118147862","80057081",1e-300,0.0082,0.3977,"[0.38-0.41]","low density lipoprotein cholesterol measurement","EFO_0004611"
"165","APOE","rs77301115","41640049",7e-74,NA,NA,NA,"Alzheimer's disease, high density lipoprotein cholesterol measurement","EFO_0000249, EFO_0004612"
"166","APOE","rs157595","41640036",1e-97,NA,NA,NA,"Alzheimer's disease, high density lipoprotein cholesterol measurement","EFO_0000249, EFO_0004612"
"167","APOE","rs138235833","31667504",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"168","APOE","rs283813","64675710",8e-28,NA,0.20705,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"169","APOE","rs204480","41168887",6e-09,NA,5.81275,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"170","APOE","rs157588","35814743",7e-10,NA,0.103,NA,"low density lipoprotein cholesterol measurement","EFO_0004611"
"171","APOE","rs3745150","64083015",3e-09,0.0022749577,0.013501041,"[0.009-0.018]","lymphocyte count","EFO_0004587"
"172","APOE","rs66626994","41246657",2e-09,0.0066,0.0396,"[0.027-0.053]","high density lipoprotein cholesterol measurement","EFO_0004612"
"173","APOE","rs147711004","55735655",2e-09,NA,NA,NA,"body mass index","EFO_0004340"
"174","APOE","rs7260330","31398455",2e-16,0.03,0.24,"[0.18-0.3]","blood protein measurement","EFO_0007937"
"175","APOE","rs41290108","61999960",1e-25,0.00520062,0.0544411,"[0.044-0.065]","c-reactive protein measurement","EFO_0004458"
"176","APOE","rs112283362","61999956",2e-08,0.0082936,0.0465808,"[0.03-0.063]","c-reactive protein measurement","EFO_0004458"
"177","APOE","rs10405693","36141567",3e-14,0.030243,NA,NA,"Alzheimer's disease","EFO_0000249"
"178","APOE","rs814573","31399560",5e-15,0.03,0.25,"[0.19-0.31]","blood protein measurement","EFO_0007937"
"179","APOE","rs1871047","64652193",2e-09,0.00192,0.0113,"[0.0075-0.0151]","urate measurement","EFO_0004531"
"180","APOE","rs769450","36141700",6e-19,0.079488,NA,"[1.44-1.75]","Alzheimer's disease","EFO_0000249"
"181","APOE","rs10119","31400337",1e-307,NA,NA,"[1.41, 1.46]","family history of Alzheimer’s disease","EFO_0009268"
"182","APOE","rs1160984","41168719",2e-20,NA,9.292308,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"183","APOE","rs1135062","31667388",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"184","APOE","rs4452060","56273809",0,0.00210522,0.0833597,"[0.079-0.087]","low density lipoprotein cholesterol measurement","EFO_0004611"
"185","APOE","rs11668738","31667440",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"186","APOE","rs73050293","31667448",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"187","APOE","rs115299243","47266417",1e-14,0.02016713,0.1560534,"[0.12-0.2]","triglyceride measurement","EFO_0004530"
"188","APOE","rs141622900","63369758",1e-31,0.0124084,0.145241,"[0.12-0.17]","coronary artery disease","EFO_0001645"
"189","APOE","rs115881343","38722",4e-09,NA,0.044,"[.02931-.0585]","Mental deterioration","HP_0001268"
"190","APOE","rs138607350","64675715",4e-102,NA,1.03437,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"191","APOE","rs157582","36141400",4e-63,0.020682,NA,NA,"Alzheimer's disease","EFO_0000249"
"192","APOE","rs41290120","38507966",0,NA,NA,NA,"low density lipoprotein cholesterol measurement, physical activity","EFO_0004611, EFO_0003940"
"193","APOE","rs140824606","31667380",4e-26,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"194","APOE","rs406456","31667460",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"195","APOE","rs4420638","41430296",1e-305,0.006,0.229,"[0.22-0.24]","c-reactive protein measurement","EFO_0004458"
"196","APOE","rs9304644","31666976",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"197","APOE","rs1160985","36141717",1e-22,0.080774,NA,"[1.49-1.81]","Alzheimer's disease","EFO_0000249"
"198","APOE","rs59325138","31666940",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"199","APOE","rs1160983","55735474",3e-09,NA,NA,NA,"body mass index","EFO_0004340"
"200","APOE","rs157591",NA,NA,NA,NA,NA,NA,NA
"201","APOE","rs73048293",NA,NA,NA,NA,NA,NA,NA
"202","APOE","rs4803774","64675686",5e-15,NA,0.0747163,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"203","APOE","rs12976395","56278742",1e-90,0.00205167,0.041418,"[0.037-0.045]","high density lipoprotein cholesterol measurement","EFO_0004612"
"204","APOE","rs79429216","31399403",7e-45,0.11,1.5,"[1.28-1.72]","blood protein measurement","EFO_0007937"
"205","APOE","rs73045691","31666972",2e-19,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"206","APOE","rs429358","41430763",0,0.006,0.247,"[0.24-0.26]","c-reactive protein measurement","EFO_0004458"
"207","APOE","rs35396326","47885265",2e-08,0.0044281,0.024742,"[0.016-0.033]","urate measurement","EFO_0004531"
"208","APOE","rs10412413","31667392",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"209","APOE","rs12972156","35789217",4e-12,NA,0.17,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"210","APOE","rs769446","31579877",2.96439387504748e-322,0.0134,0.5141,"[0.49-0.54]","low density lipoprotein cholesterol measurement","EFO_0004611"
"211","APOE","rs387976","62654104",4e-11,0.002015,0.013305,"[0.0094-0.0173]","mean corpuscular hemoglobin concentration","EFO_0004528"
"212","APOE","rs35136575","35844168",5e-09,NA,0.025,NA,"high density lipoprotein cholesterol measurement","EFO_0004612"
"213","APOE","rs393584","31666912",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"214","APOE","rs146275714","64675721",1e-300,NA,1.11415,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
