"","gene","snp","association_id","pvalue","standard_error","beta_number","range","traits","efo_id"
"35","PGM1","rs2269235","62313536",2e-13,NA,0.7073,NA,"protein measurement","EFO_0004747"
"36","PGM1","rs1354719","62083622",1e-08,NA,NA,NA,"PHF-tau measurement","EFO_0010750"
"37","PGM1","rs217470","64407374",1e-12,0.002375055,0.016942473,"[0.012-0.022]","mean corpuscular volume","EFO_0004526"
"38","APOA1","rs9326246","17333011",3e-07,NA,NA,"[1.09-1.21]","coronary artery disease","EFO_0001645"
"39","APOA1","rs3825041","17541847",7e-20,NA,NA,NA,"hypertriglyceridemia","EFO_0004211"
"40","APOA1","rs11216168","17543212",4e-07,0.0036563266,0.0185,"[0.011-0.026]","wellbeing measurement","EFO_0007869"
"41","APOA1","rs61905145","17543928",3e-07,0.0041589946,0.0212691,"[0.013-0.029]","wellbeing measurement","EFO_0007869"
"43","APOA1","rs10047462","17112",4e-25,NA,0.041,"[0.03-0.05]","soluble transferrin receptor measurement, iron biomarker measurement","EFO_0004460, EFO_0004461"
"44","APOA1","rs142958146","56272805",1e-10,0.0118917,0.0769705,"[0.054-0.1]","apolipoprotein a 1 measurement","EFO_0004614"
"45","APOA1","rs11820589","17437",6e-09,NA,0.32,"[0.20-0.44]","metabolic syndrome","EFO_0000195"
"46","APOA1","rs61905084","55279409",4e-38,0.002634,0.03136,"[0.026-0.037]","triglyceride measurement, sleep duration","EFO_0004530, EFO_0005271"
"47","APOA1","rs78692246","36473736",1e-25,NA,NA,NA,"eosinophil count","EFO_0004842"
"49","APOA1","rs11600380","41541881",5e-12,NA,NA,NA,"metabolic syndrome","EFO_0000195"
"50","APOA1","rs75920871","27438968",1e-08,0.0032,0.0183,"[0.012-0.025]","wellbeing measurement","EFO_0007869"
"51","APOA1","rs180344","41541868",2e-24,NA,NA,NA,"metabolic syndrome","EFO_0000195"
"52","APOA1","rs77204473","21793332",1e-11,0.007800468,0.0528139,"[0.038-0.068]","eosinophil count","EFO_0004842"
"54","APOA1","rs2070667","21889225",1e-10,0.008522228,0.05496302,"[0.038-0.072]","platelet count","EFO_0004309"
"55","APOA1","rs12280724",NA,NA,NA,NA,NA,NA,NA
"56","APOA1","rs149137426","62319794",2e-10,NA,0.03193,NA,"protein measurement","EFO_0004747"
"58","APOA1","rs2070669","55279732",2e-25,0.002346,0.02284,"[0.018-0.027]","sleep duration, triglyceride measurement","EFO_0005271, EFO_0004530"
"61","APOA1","rs11216183","36458491",6e-13,NA,NA,NA,"red blood cell distribution width","EFO_0005192"
"62","APOA1","rs145859971","80057535",8e-10,0.0121,0.0743,"[0.051-0.098]","low density lipoprotein cholesterol measurement","EFO_0004611"
"66","APOA1","rs2070665","54189688",2e-13,NA,0.049065445,NA,"serum metabolite measurement","EFO_0005653"
"67","APOA1","rs141023293","34613172",7e-07,NA,NA,"[1.06-1.13]","allergic rhinitis","EFO_0005854"
"68","APOA1","rs113932726","31579861",2e-08,0.009683,0.05462,"[0.036-0.074]","low density lipoprotein cholesterol measurement","EFO_0004611"
"69","APOA1","rs12285095","55418498",9e-08,0.066857904,0.3580416,"[0.23-0.49]","cholesteryl ester 18:3 measurement","EFO_0010346"
"70","APOA1","rs6589564","31567834",3e-06,NA,0.4551,NA,"inflammatory bowel disease, femoral neck bone mineral density","EFO_0003767, EFO_0007785"
"72","APOA1","rs11827828","41541894",1e-11,NA,NA,NA,"metabolic syndrome","EFO_0000195"
"73","APOA1","rs1374117","55279737",3e-17,0.003093,0.02596,"[0.02-0.032]","sleep duration, triglyceride measurement","EFO_0005271, EFO_0004530"
"75","APOA1","rs11216186","41541900",6e-10,NA,NA,NA,"metabolic syndrome","EFO_0000195"
"76","APOA1","rs10892044","41541900",6e-10,NA,NA,NA,"metabolic syndrome","EFO_0000195"
"77","APOA1","rs12280753","21604686",8e-06,0.15,0.69,"[0.40-0.98]","cardiovascular disease, triglyceride measurement, age at assessment, high density lipoprotein cholesterol measurement, low density lipoprotein cholesterol measurement, waist circumference","EFO_0000319, EFO_0004530, EFO_0008007, EFO_0004612, EFO_0004611, EFO_0004342"
"79","APOA1","rs200856670","64201790",6e-18,0.004839848,0.0418129,"[0.032-0.051]","eosinophil count","EFO_0004842"
"80","APOA1","rs12285074","35228309",5e-12,0.0023,0.0161,"[0.012-0.021]","self reported educational attainment","EFO_0004784"
"83","APOA1","rs4520","47793572",8e-09,0.0324,0.1864,"[0.12-0.25]","phosphatidylinositol measurement","EFO_0010230"
"85","APOA1","rs139447106","62742753",2e-11,0.004483,0.030081,"[0.021-0.039]","red blood cell density measurement","EFO_0007978"
"86","APOA1","rs12294259","55423985",2e-08,0.06944175,0.39194718,"[0.26-0.53]","triacylglycerol 52:2 measurement","EFO_0010414"
"89","APOA1","rs11216185","20547",1e-07,NA,NA,"[1.33-1.86]","infantile hypertrophic pyloric stenosis","EFO_0004707"
"92","APOA1","rs964184","38508818",0,NA,NA,NA,"physical activity, triglyceride measurement","EFO_0003940, EFO_0004530"
"93","APOA1","rs17520254","56271800",1e-44,0.00414682,0.0581661,"[0.05-0.066]","apolipoprotein a 1 measurement","EFO_0004614"
"94","APOA1","rs5128","31395225",5e-44,0.04,0.6,"[0.52-0.68]","blood protein measurement","EFO_0007937"
"99","APOA1","rs45611741","64409452",2e-12,0.013164333,0.09260023,"[0.067-0.118]","mean corpuscular volume","EFO_0004526"
"100","APOA1","rs11823543","17431",3e-09,NA,0.35,"[0.23-0.47]","blood pressure, triglyceride measurement","EFO_0004325, EFO_0004530"
"101","APOA1","rs613808","56271610",0,0.00218408,0.0849428,"[0.081-0.089]","apolipoprotein a 1 measurement","EFO_0004614"
"103","APOA1","rs1076485","34706621",3e-11,0.0019,0.0129,"[0.0092-0.0166]","self reported educational attainment","EFO_0004784"
"104","APOA1","rs5130","62747066",3e-45,0.002684,0.037927,"[0.033-0.043]","platelet count","EFO_0004309"
"105","APOA1","rs7127590","55279742",9e-25,0.002934,0.02544,"[0.02-0.031]","sleep duration, triglyceride measurement","EFO_0005271, EFO_0004530"
"106","APOA1","rs7396851","55679468",3e-07,NA,NA,"[1.159-1.39]","hypertriglyceridemia","EFO_0004211"
"108","APOA1","rs189693121","16019265",2e-06,NA,0.441,NA,"FEV/FEC ratio, response to bronchodilator","EFO_0004713, GO_0097366"
"109","APOA1","rs11825181","42527",3e-11,0.011,0.076,"[0.054-0.098]","blood metabolite measurement","EFO_0005664"
"111","APOA1","rs672058","62507407",2e-12,NA,NA,NA,"myeloid white cell count","EFO_0007988"
"114","APOA1","rs670","31397533",8e-64,0.03,0.54,"[0.48-0.6]","blood protein measurement","EFO_0007937"
"115","APOA1","rs2727790","55599073",9e-06,NA,NA,NA,"multiple sclerosis","EFO_0003885"
"116","APOA1","rs10466588","55418344",9e-07,0.061822217,0.30403185,"[0.18-0.43]","cholesteryl ester 16:1 measurement","EFO_0010342"
"120","APOA1","rs66505542","64341354",4e-35,0.0032386917,0.040067766,"[0.034-0.046]","platelet count","EFO_0004309"
"121","APOA1","rs2044426","41541894",1e-11,NA,NA,NA,"metabolic syndrome","EFO_0000195"
"127","APOA1","rs201462698","41310375",1e-06,0.0118,0.0571,"[0.034-0.08]","breast carcinoma","EFO_0000305"
"129","APOA1","rs10488699",NA,NA,NA,NA,NA,NA,NA
"131","APOA1","rs12274192","21797800",2e-10,0.007157664,0.04547737,"[0.031-0.06]","eosinophil percentage of granulocytes","EFO_0007996"
"133","APOA1","rs139636218","64397096",2e-19,0.013393716,0.12075179,"[0.095-0.147]","platelet component distribution width","EFO_0007984"
"138","LY9","rs2274910","11285",1e-09,NA,NA,NA,"crohn's disease","EFO_0000384"
"139","LY9","rs576523","23210",2e-07,NA,NA,NA,"response to antineoplastic agent","GO_0097327"
"140","LY9","rs4656940","23855",6e-07,NA,NA,"[1.09-1.21]","crohn's disease","EFO_0000384"
"141","LY9","rs2295616",NA,NA,NA,NA,NA,NA,NA
"142","LY9","rs2297559","15078949",2e-11,NA,NA,NA,"inflammatory bowel disease","EFO_0003767"
"143","LY9","rs2039415",NA,NA,NA,NA,NA,NA,NA
"144","LY9","rs184772","62310405",5e-13,NA,0.08571,NA,"protein measurement","EFO_0004747"
"145","LY9","rs12068654","40538",5e-06,NA,NA,"[2.06-6.93]","cervical carcinoma","EFO_0001061"
"146","LY9","rs3817407","21841676",2e-11,0.004306408,0.02876859,"[0.02-0.037]","lymphocyte percentage of leukocytes","EFO_0007993"
"147","LY9","rs504848","21840509",3e-11,0.00363186,0.02423365,"[0.017-0.031]","lymphocyte count","EFO_0004587"
"148","LY9","rs4656958","15071279",3e-09,0.013870185,NA,NA,"ulcerative colitis","EFO_0000729"
"149","LY9","rs489286","24168091",2e-57,0.04043557,0.6907,"[0.61-0.77]","SLAM family member 7 measurement","EFO_0008287"
"150","LY9","rs571841","64077701",4e-18,0.0022350727,0.019399447,"[0.015-0.024]","lymphocyte percentage of leukocytes","EFO_0007993"
"151","LY9","rs1333062","24297569",2e-11,NA,NA,NA,"ankylosing spondylitis, crohn's disease, psoriasis, sclerosing cholangitis, ulcerative colitis","EFO_0003898, EFO_0000384, EFO_0000676, EFO_0004268, EFO_0000729"
"152","LY9","rs192170963","31392108",1e-17,0.22,1.86,"[1.43-2.29]","blood protein measurement","EFO_0007937"
"153","LY9","rs540254","63150979",5e-34,0.02581164,0.3174127,"[0.27-0.37]","blood protein measurement","EFO_0007937"
"155","LY9","rs12124234","31390661",1e-25,0.03,0.26,"[0.2-0.32]","blood protein measurement","EFO_0007937"
"156","LY9","rs112233273","31705393",1e-06,NA,NA,"[2.84-11.64]","family history of lung cancer, squamous cell lung carcinoma","EFO_0006953, EFO_0000708"
"157","LY9","rs35967351","31393941",2e-208,0.02,0.72,"[0.68-0.76]","blood protein measurement","EFO_0007937"
"158","LY9","rs11578770","24168865",8e-23,0.0727804,0.7344,"[0.59-0.88]","SLAM family member 7 measurement","EFO_0008287"
"159","LY9","rs115868021","64077706",3e-11,0.01477798,0.09809881,"[0.069-0.127]","lymphocyte percentage of leukocytes","EFO_0007993"
"160","APOE","rs419010","41168897",8e-09,NA,5.773656,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"161","APOE","rs111371860","41168673",6e-35,NA,12.327317,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"162","APOE","rs440446","55477870",9e-59,NA,NA,"[1.56-1.75]","Alzheimer's disease","EFO_0000249"
"163","APOE","rs449647","31400511",2e-58,NA,NA,NA,"family history of Alzheimer’s disease","EFO_0009268"
"164","APOE","rs78986976","41168849",8e-11,NA,6.508301,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"165","APOE","rs35336243","55477926",2e-09,NA,NA,"[1.15-1.33]","Alzheimer's disease","EFO_0000249"
"166","APOE","rs35568738","55477883",9e-10,NA,NA,"[1.32-1.69]","Alzheimer's disease","EFO_0000249"
"167","APOE","rs71352239","55477887",3e-14,NA,NA,"[1.32-1.59]","Alzheimer's disease","EFO_0000249"
"168","APOE","rs76692773","41168683",9e-24,NA,10.04716,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"169","APOE","rs376097536","31394122",0,0.03,1.17,"[1.11-1.23]","blood protein measurement","EFO_0007937"
"170","APOE","rs11665676","41168724",1e-19,NA,9.089448,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"171","APOE","rs12972970","35789223",4e-12,NA,0.17,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"172","APOE","rs111789331","47457369",1e-11,0.0015072,0.010173,"[0.0072-0.0131]","health study participation","EFO_0010130"
"173","APOE","rs1305062",NA,NA,NA,NA,NA,NA,NA
"174","APOE","rs4802240","31667412",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"175","APOE","rs183427010","41168707",3e-21,NA,9.459884,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"176","APOE","rs3810143","55280146",2e-52,0.201,2.917,"[2.52-3.31]","low density lipoprotein cholesterol measurement, sleep duration","EFO_0004611, EFO_0005271"
"178","APOE","rs1081106","31666936",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"179","APOE","rs1871045","22108831",4e-06,NA,0.52,"[0.30-0.74]","waist-hip ratio, smoking behaviour measurement","EFO_0004343, EFO_0005671"
"180","APOE","rs34342646","35789211",2e-12,NA,0.17,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"181","APOE","rs1065853","14981264",0,0.013,0.603,"[0.58-0.63]","low density lipoprotein cholesterol measurement","EFO_0004611"
"182","APOE","rs11671274","64417765",2e-26,0.004707805,0.05017886,"[0.041-0.059]","mean platelet volume","EFO_0004584"
"183","APOE","rs1466435","31667376",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"184","APOE","rs55840414","41168734",5e-18,NA,8.655959,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"185","APOE","rs12721109","35814908",4e-134,NA,0.481,NA,"low density lipoprotein cholesterol measurement","EFO_0004611"
"186","APOE","rs5167","31395257",0,0.02,0.87,"[0.83-0.91]","blood protein measurement","EFO_0007937"
"187","APOE","rs79701229","41168644",1e-64,NA,16.990263,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"188","APOE","rs73052335",NA,NA,NA,NA,NA,NA,NA
"189","APOE","rs6859","31666924",1e-155,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"190","APOE","rs10421404","35814918",3e-06,NA,0.031,NA,"low density lipoprotein cholesterol measurement","EFO_0004611"
"191","APOE","rs157580","41168620",8e-220,NA,31.6502,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"192","APOE","rs4803760","31667436",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"193","APOE","rs283814","31667416",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"194","APOE","rs117612135","31667548",9e-31,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"195","APOE","rs34731969","31393596",3e-52,0.03,0.43,"[0.37-0.49]","blood protein measurement","EFO_0007937"
"196","APOE","rs7256200","35789161",1e-19,NA,0.15,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"197","APOE","rs2927482","55280142",2e-16,0.1934,1.562,"[1.18-1.94]","low density lipoprotein cholesterol measurement, sleep duration","EFO_0004611, EFO_0005271"
"198","APOE","rs7246099","31398427",2e-55,0.03,0.44,"[0.38-0.5]","blood protein measurement","EFO_0007937"
"199","APOE","rs375972689","56277323",5e-95,0.0100809,0.208537,"[0.19-0.23]","apolipoprotein B measurement","EFO_0004615"
"200","APOE","rs157581","35789234",9e-12,NA,0.1,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"201","APOE","rs440277","63154957",3e-14,0.026731139,0.20451695,"[0.15-0.26]","blood protein measurement","EFO_0007937"
"202","APOE","rs77719426","61999988",8e-18,0.0103138,0.0886896,"[0.068-0.109]","c-reactive protein measurement","EFO_0004458"
"203","APOE","rs2376866","31667536",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"204","APOE","rs140480140","62709695",3.95252516672997e-323,0.00563563,0.216585,"[0.21-0.23]","low density lipoprotein cholesterol measurement","EFO_0004611"
"205","APOE","rs12974942","31667396",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"206","APOE","rs28399657","31666852",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"207","APOE","rs394819","14869646",8e-11,NA,NA,"[1.55-2.3]","Alzheimer's disease","EFO_0000249"
"208","APOE","rs7259004","14927474",2e-10,0.0143,0.0906,"[0.063-0.119]","blood metabolite measurement, sphingolipid measurement","EFO_0005664, EFO_0004622"
"209","APOE","rs12978931","31667408",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"210","APOE","rs11672748","41168688",1e-23,NA,10.028075,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"211","APOE","rs11669338","31667472",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"212","APOE","rs760136","31667476",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"213","APOE","rs561654715","41168730",9e-19,NA,8.842536,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"214","APOE","rs190712692","61999980",7e-86,0.00464074,0.0911409,"[0.082-0.1]","c-reactive protein measurement","EFO_0004458"
"215","APOE","rs3925681","31666964",7e-162,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"216","APOE","rs576651896","41168840",2e-11,NA,6.6975107,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"217","APOE","rs7259620","36141721",2e-23,0.082315,NA,"[1.51-1.84]","Alzheimer's disease","EFO_0000249"
"218","APOE","rs4803764","55477955",1e-34,NA,NA,"[1.42-1.63]","Alzheimer's disease","EFO_0000249"
"219","APOE","rs8112526","31667456",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"220","APOE","rs150639620","31667496",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"221","APOE","rs34095326","35789246",2e-10,NA,0.12,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"222","APOE","rs72654472","61999976",1e-34,0.00621551,0.076407,"[0.064-0.089]","c-reactive protein measurement","EFO_0004458"
"223","APOE","rs58826447","41640057",7e-54,NA,NA,NA,"Alzheimer's disease, high density lipoprotein cholesterol measurement","EFO_0000249, EFO_0004612"
"224","APOE","rs4263041","31667532",5e-10,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"225","APOE","rs116949436","41168659",7e-50,NA,14.848961,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"226","APOE","rs57270598","31666984",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"227","APOE","rs2238681",NA,NA,NA,NA,NA,NA,NA
"228","APOE","rs117310449","31666916",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"229","APOE","rs405509","36141709",2e-21,0.077322,NA,"[1.46-1.77]","Alzheimer's disease","EFO_0000249"
"230","APOE","rs10407439","41168649",1e-58,NA,16.138115,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"231","APOE","rs11668327","55280166",9e-57,0.3473,5.155,"[4.47-5.84]","low density lipoprotein cholesterol measurement, sleep duration","EFO_0004611, EFO_0005271"
"232","APOE","rs584007","55279462",1e-19,0.002779,0.02548,"[0.02-0.031]","triglyceride measurement, sleep duration","EFO_0004530, EFO_0005271"
"233","APOE","rs144261139","55477973",1e-10,NA,NA,"[1.82-3.09]","Alzheimer's disease","EFO_0000249"
"234","APOE","rs11666329","31666876",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"236","APOE","rs61679753","31667420",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"237","APOE","rs5117","55279763",6e-45,0.003284,0.03706,"[0.031-0.043]","sleep duration, triglyceride measurement","EFO_0005271, EFO_0004530"
"238","APOE","rs8106922","35814748",7e-24,NA,0.05,NA,"low density lipoprotein cholesterol measurement","EFO_0004611"
"240","APOE","rs406315","41640065",5e-50,NA,NA,NA,"Alzheimer's disease, high density lipoprotein cholesterol measurement","EFO_0000249, EFO_0004612"
"241","APOE","rs77241309","31667404",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"242","APOE","rs41289512","41169003",6e-276,NA,35.5,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"243","APOE","rs2972562","31666908",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"244","APOE","rs117264457","61999968",2e-44,0.00653893,0.0914817,"[0.079-0.104]","c-reactive protein measurement","EFO_0004458"
"245","APOE","rs1038026","47264274",1e-14,0.3174591,2.444245,"[1.82-3.07]","low density lipoprotein cholesterol measurement","EFO_0004611"
"247","APOE","rs141864196","41168863",3e-10,NA,6.313068,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"248","APOE","rs12691088","64675731",1e-300,NA,1.18305,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"249","APOE","rs7254723","41640107",7e-22,NA,NA,NA,"Alzheimer's disease, high density lipoprotein cholesterol measurement","EFO_0000249, EFO_0004612"
"250","APOE","rs116881820","45610162",1e-30,0.017623061,0.20294493,"[0.17-0.24]","HMG CoA reductase inhibitor use measurement","EFO_0009932"
"251","APOE","rs7254892","47738227",2e-136,0.5187,12.8991,"[11.88-13.92]","low density lipoprotein cholesterol measurement","EFO_0004611"
"252","APOE","rs769449","35814793",3e-157,NA,0.194,NA,"low density lipoprotein cholesterol measurement","EFO_0004611"
"253","APOE","rs2075650","15309",1e-295,NA,NA,"[2.41-2.66]","Alzheimer's disease","EFO_0000249"
"254","APOE","rs71171301","64675698",5e-29,NA,0.171993,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"255","APOE","rs405697","36141500",1e-13,0.036026,NA,NA,"Alzheimer's disease","EFO_0000249"
"256","APOE","rs75627662","41111942",1e-295,NA,36.79,NA,"family history of Alzheimer’s disease","EFO_0009268"
"257","APOE","rs28399637","41168629",2e-143,NA,25.508192,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"259","APOE","rs2288912","10076487",4e-06,NA,4.617,NA,"very long-chain saturated fatty acid measurement","EFO_0006796"
"260","APOE","rs71352238","36141370",7e-69,0.019446,NA,NA,"Alzheimer's disease","EFO_0000249"
"261","APOE","rs56131196","35814873",6e-163,NA,0.163,NA,"low density lipoprotein cholesterol measurement","EFO_0004611"
"262","APOE","rs143459034","31667304",5e-08,NA,NA,NA,"Alzheimer's disease, family history of Alzheimer’s disease","EFO_0000249, EFO_0009268"
"263","APOE","rs484195","64674951",3e-67,NA,17.3,NA,"alkaline phosphatase measurement","EFO_0004533"
"264","APOE","rs59007384","35789206",3e-13,NA,0.11,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"265","APOE","rs283812","35904201",3e-07,0.1,0.55,"[0.35-0.75]","Alzheimer's disease, beta-amyloid 1-42 measurement","EFO_0000249, EFO_0004670"
"266","APOE","rs10414043","35789151",2e-20,NA,0.15,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"267","APOE","rs12721046","35789181",1e-14,NA,0.13,NA,"cerebral amyloid deposition measurement","EFO_0007707"
"268","APOE","rs35577563","55279168",8e-24,0.001099,0.009419,"[0.0073-0.0116]","high density lipoprotein cholesterol measurement, sleep duration","EFO_0004612, EFO_0005271"
